engine,count
355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,5651
240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,4868
420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,4694
2.0L I4 16V GDI DOHC Turbo,4513
375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,4090
340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4001
490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,3689
455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,3539
300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,3453
425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,3451
285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,3216
302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,3167
295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,3167
3.5L V6 24V PDI DOHC Twin Turbo,3100
301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,2655
3.6L V6 24V MPFI DOHC,2523
5.7L V8 16V MPFI OHV,2505
4.0L V8 32V GDI DOHC Twin Turbo,2495
268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,2422
333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,2215
365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,2091
3.6L V6 24V GDI DOHC,2072
211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,2058
2.0 Liter Turbo,1912
210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,1903
252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,1836
255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,1743
248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,1729
5.3L V8 16V GDI OHV,1710
380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,1699
381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,1687
335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,1656
395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,1618
362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,1589
395.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,1583
241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,1579
290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,1543
–,1542
445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,1512
2.5L I4 16V GDI DOHC,1494
325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,1474
3.0 Liter Turbo,1417
306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,1413
3.5L V6 24V PDI DOHC,1384
400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,1384
450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,1365
518.0HP Electric Motor Electric Fuel System,1363
503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,1361
414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,1352
560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,1343
320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,1271
270.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,1269
270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,1259
3.0 Liter,1244
385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,1234
425.0HP Electric Motor Electric Fuel System,1204
6.2L V8 16V GDI OHV,1175
208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,1164
