model,count
F-150 XLT,4868
M3 Base,3641
Camaro 2SS,2820
M4 Base,2627
Mustang GT Premium,2464
F-150 Lariat,2304
E-Class E 350 4MATIC,2239
1500 Laramie,2006
911 Carrera S,2004
Corvette Base,1949
GX 460 Base,1912
E-Class E 350,1896
911 Carrera,1866
Corvette Stingray w/2LT,1827
Explorer XLT,1797
Rover Range Rover Sport HSE,1778
Wrangler Sport,1661
AMG G 63 Base,1640
F-250 XLT,1419
F-250 Lariat,1413
RX 350 Base,1405
911 Carrera 4S,1386
QX60 Base,1382
Camaro 1SS,1347
Model Y Long Range,1323
Highlander XLE,1289
Macan S,1259
Suburban LT,1252
C-Class C 300 4MATIC Sport,1236
Corvette Stingray w/3LT,1207
Suburban Premier,1189
335 i,1185
M5 Base,1177
G-Class G 550 4MATIC,1158
C-Class C 300 4MATIC,1148
1500 Big Horn,1141
Gladiator Overland,1112
Rover Range Rover Sport Supercharged HSE,1093
328 i xDrive,1048
Q5 2.0T Premium Plus,1037
S4 3.0T Premium Plus,1010
Corvette Stingray w/1LT,988
Land Cruiser Base,987
GX 460 Premium,978
Cooper S Base,961
SL-Class SL 550,955
Escalade ESV Platinum,939
Tahoe LTZ,935
GX 470 Base,934
Expedition Limited,925
M4 Competition xDrive,918
Q5 S line Premium Plus,917
Metris Base,910
ES 350 Base,902
AMG C 43 Base 4MATIC,889
A4 2.0T Premium,880
GLS 450 Base 4MATIC,875
Tundra SR5,872
S-Class S 560 4MATIC,853
A5 2.0T Premium Plus,830
Suburban 1500 LTZ,823
Expedition Max Limited,807
Grand Cherokee L Limited,794
M6 Base,789
Model Y Performance,788
R1S Adventure Package,779
F-150 Raptor,778
Telluride SX,772
GLC 300 GLC 300,760
Mustang GT,757
435 i,747
SL-Class SL500 Roadster,747
Sierra 1500 SLT,730
LX 570 Three-Row,728
IS 350 Base,720
Escalade ESV Luxury,699
Mustang Premium,688
AMG GT 53 Base,682
Fusion SE,682
A3 2.0T Premium,679
Model 3 Long Range,677
330 i xDrive,675
F-TYPE R,672
GLE 350 Base 4MATIC,668
Transit-350 XLT,665
911 GT3,663
Rover Range Rover 3.0L Supercharged HSE,661
Ram 1500 ST,659
Camry Solara SLE V6,652
Cayenne S,647
Escalade ESV Sport,645
Navigator Reserve,638
GL-Class GL 450 4MATIC,628
Wrangler Sahara,625
IS 250 Base,624
A8 L 55,622
FJ Cruiser Base,622
911 Turbo S,608
Gladiator Rubicon,607
328 i,601
Sequoia Limited,596
Rover Range Rover Sport HSE Dynamic,590
RX 350 F Sport Performance,585
F-150 Platinum,580
QX80 Base,575
M3 CS,571
Rover Range Rover Sport Supercharged,564
Model X Long Range Plus,562
AMG C 63 Base,557
1500 Rebel,557
Tahoe LT,557
CLA-Class CLA 250,551
750 i xDrive,548
335 i xDrive,545
Expedition Platinum,544
Wrangler Unlimited Sahara,541
528 i xDrive,534
S-Class S 63 AMG,526
Cayenne Base,523
AMG GT 63 S 4-Door,518
Cayman Base,517
Rover Range Rover P530 SE LWB 7 Seat,515
4Runner Limited,515
Camaro 1LT,509
Liberty Sport,505
650 Gran Coupe i xDrive,502
X3 xDrive30i,500
AMG GLE 43 Coupe 4MATIC,500
GT-R Premium,499
Mustang EcoBoost Premium,496
H2 Base,495
S-Class S 550 4MATIC,495
A5 2.0T Premium,495
Transit-350 Base,494
LC 500 Base,492
Golf GTI 2.0T SE 4-Door,490
Pilot EX-L,489
F-150 XLT SuperCab,485
Transit Connect XLT,480
Ghost Base,477
AMG C 63 S,475
Genesis Coupe 3.8 Track,473
Tacoma TRD Sport,468
Civic EX,466
1500 Limited,465
Expedition Timberline,462
MKZ Base,462
Focus SE,460
AMG GLE AMG GLE 63 S-Model 4MATIC,458
Bronco Outer Banks Advanced,458
Rover Discovery HSE LUXURY,457
Expedition Max King Ranch,456
Grand Cherokee Limited,453
535 i xDrive,447
Mustang V6,447
Silverado 1500 LT Trail Boss,446
Rover Range Rover Evoque SE Premium,443
Yukon XL SLT,443
Romeo Giulia Ti,437
S5 3.0T Prestige,431
540 i xDrive,428
Tacoma PreRunner,423
Rover Range Rover Sport 3.0L Supercharged HSE,420
Escalade Premium Luxury Platinum,415
Model X 75D,415
Wrangler Unlimited Sport,411
G37 x,410
Sequoia SR5,409
CTS 2.0L Turbo Luxury,409
Expedition Max XLT,406
GV70 3.5T Sport,406
4Runner SR5,403
911 Turbo,398
Challenger SRT Hellcat,398
A6 2.0T Premium Plus,394
Rover Range Rover 3.0L V6 Supercharged HSE,393
2500 Big Horn,391
Corvette Z06,391
Envision Essence,390
F-150 XL,389
A6 3.0T Prestige,389
Silverado 1500 RST,386
CX-30 Premium Package,386
Wrangler SE,385
Durango GT,384
Rover Range Rover Velar P250 SE R-Dynamic,384
A7 3.0T Premium Plus,382
Suburban LTZ,382
740 i,381
F-250 King Ranch,380
F-250 Platinum,378
Rover Range Rover Sport HST MHEV,375
Escalade Sport Platinum,373
Sportage LX,373
Ghibli S Q4,373
428 i xDrive SULEV,372
Frontier SV,372
Rover Range Rover P525 Westminster,371
Rover Range Rover Evoque Pure,367
H3 Base,366
Acadia SLT-1,363
Suburban 1500 LT,363
IS 300 Base,362
Boxster Base,362
RS 7 4.0T Prestige,362
Wrangler Unlimited Rubicon,359
Model X Long Range,359
Grand Cherokee L Laredo,357
S2000 Base,354
Explorer Limited,353
Camaro Base,353
Rover Discovery Sport SE R-Dynamic,352
911 Carrera Cabriolet,351
Dakota SLT Quad Cab,348
Armada Platinum,348
Bronco Badlands Advanced,347
Avalanche 1500 LS,347
Rover Defender X-Dynamic SE,346
BRZ Limited,344
QX56 Base,344
Civic LX,342
Cullinan,341
Highlander Limited,340
Macan Base,340
Model S 100D,339
Xterra S,338
Rover Range Rover Velar P250 S R-Dynamic,337
M8 Competition,336
Traverse Premier,336
Pathfinder SL,335
M8 Gran Coupe Competition,333
Urus Base,331
650 i,329
Ghibli S Q4 GranSport,327
Outback 2.5i Limited,326
Solstice GXP,324
Avalon Limited,323
Rover Defender SE,323
MDX 3.7L Advance,321
Model S P100D,318
Q8 55 Premium Plus,318
Bronco Wildtrak Advanced,316
Excursion Limited,316
Yukon XL Denali,314
AMG E 63 S 4MATIC,313
CLK-Class CLK 350,312
Tahoe Premier,311
Yukon Denali,311
Rover Range Rover HSE SWB,311
Expedition EL XLT,309
Liberty Renegade,309
CX-30 Select,307
RX 350 F Sport,302
RX 450h Base,301
Q7 Premium Plus,301
Rover Range Rover Supercharged LWB,300
AMG GT C,300
M550 i xDrive,299
2500 Tradesman,298
RS 7 4.0T Performance Prestige,298
Romeo Stelvio Ti Sport,295
Optima LX,294
SL-Class SL550 Roadster,294
Cayenne AWD,294
SQ5 3.0T Premium Plus,294
2500 Laramie,289
G35 Base,288
A4 2.0T Premium Plus quattro,286
Rover Range Rover P400 SE SWB,286
Continental GT W12,284
MX-5 Miata Base,284
Tundra SR5 Access Cab,283
E-Class E 550,283
Camaro Z28,282
Sprinter 2500 Standard Roof,281
ALPINA B7 ALPINA B7 xDrive,281
Rover Range Rover Sport SVR Carbon Edition,281
Mustang Mach-E GT,281
MKZ Reserve,280
Panamera 2,279
LS 460 Base,279
S-Class S 580 4MATIC,279
Challenger R/T Scat Pack,279
350Z Touring,276
Highlander Hybrid Limited Platinum,276
Tundra SR5 Double Cab,276
Sierra 2500 Denali,275
F-350 Platinum,274
Camaro 2LT,274
LS 460 L,272
Mazda6 i Touring,269
CX-9 Signature,268
Town Car Signature,267
Rogue SL,267
XTS Luxury,267
S5 3.0T Premium Plus,266
Countryman Cooper S ALL4,266
Murano SL,265
A6 3.0T Premium Plus,265
RX 350 RX 350 F SPORT Handling,265
RC 350 Base,264
Impreza WRX Sti Special Edition,263
CTS Luxury,262
Boxster S,262
Sequoia Platinum,260
F-PACE S,260
300 Touring,257
Silverado 1500 ZR2,257
Eclipse Spyder GT,255
Rover Range Rover HSE,255
Q7 55 Prestige,255
Cayenne Turbo,254
Rover LR4 HSE LUX Landmark Edition,254
Q60 3.0t Red Sport 400,253
350Z Enthusiast,252
E-Class E 300 4MATIC,251
Edge SEL,251
GL-Class GL 450,249
Focus RS Base,248
Avalanche 1500 LTZ,248
QX80 Luxe,248
Cooper Base,248
570S Spider,247
RX 330 Base,245
Panamera Turbo,245
750 i,244
Cayenne Turbo S,244
4Runner SR5 Premium,242
M6 Gran Coupe Base,241
911 Turbo Cabriolet,238
F-250 XLT Crew Cab Super Duty,237
Enclave Leather,236
MKC Reserve,236
Firebird Trans Am,236
Terrain SLT-1,236
Utility Police Interceptor Base,235
1500 Classic Warlock,235
AMG GLS 63 4MATIC,235
Expedition EL Limited,234
S4 3.0 Prestige,234
911 GT3 RS,234
M240 i,234
Monte Carlo SS,233
Titan SV,231
IS-F Base,230
Rover Range Rover 5.0L Supercharged Autobiography LWB,230
Silverado 1500 1LT,229
Genesis 3.8,228
M235 i,228
Tucson Limited,227
QX60 Luxe,227
F-350 Lariat,227
TLX V6 Advance,226
Camaro ZL1,226
Escalade ESV Premium Luxury Platinum,225
Explorer ST,225
340 i,225
Avalanche 1500 LT,225
Macan,225
Silverado 1500 LT,225
Huracan EVO Base,222
Yukon SLT,222
Impreza WRX,221
Silverado 1500 2LT,221
F-250 XL,220
Acadia Denali,219
C-Class C 300,219
Sorento LX,219
X7 xDrive40i,219
Juke SL,218
A6 55 Premium,218
WRX Limited,217
Enclave Avenir,215
Bronco Big Bend Advanced,214
Rover Range Rover Evoque S,214
CX-5 Grand Touring,213
Panamera 4,211
Model 3 Standard Range Plus,211
Element EX,211
Rover Range Rover Sport Supercharged Dynamic,209
Gladiator Sport S,209
Ascent Touring 7-Passenger,208
M3 Competition xDrive,208
GLC 300 Base 4MATIC,206
Optima EX,206
MKZ Reserve I,204
Enclave Premium,204
Maxima SV,203
Outback 2.5i Premium,203
X6 M Base,202
GLA 250 Base 4MATIC,202
